Chinese,English
图片工具栏,Picture Toolbar
地址中没有用变量的时候,When no variable is used in the address
并不会限制用户的输入长度,does not limit the length of user input
播放,play
用在,used in
导航项目,navigation item
荆州市,Jingzhou
桃源区,Taoyuan District
向下移动,Move Downward
来指定原图资源地址,To specify the original image resource address
内置全选,built-in select all
时启用这个样式比如,Enable this style when for example
服务类控件,service control
展示态时的,display state
最大日期,maximum date
图标渲染器,icon renderer
向前找,look forward
如果想模糊匹配某个变量值,If you want to fuzzy match a variable value
映射表,mapping table
内置,built-in
值只含子节点,Value contains only child nodes
文档中的,in the document
点击查看当前可用快捷键,Click to view the currently available shortcut keys
的列支持除表单项以外所有组件类型,The columns support all component types except form items
溪州乡,Xizhou Township
内部的样式,internal style
这里不知为何不生效,I don't know why it doesn't work here
用来开启此模式,to enable this mode
来指定拉取接口时的默认参数,To specify the default parameters when pulling the interface
监听表单内部的修改,Listen for changes inside the form
的属性上,on the attribute
配置文件下载,configuration file download
天柱县,Tianzhu County
长度,length
描述标题,description title
这个查询结果返回类似如下的数据,The result of this query returns data similar to the following
大渡口区,Dadukou District
冈山区,Gangshan District
都会调用这个方法,will call this method
底部新增按钮配置,New button configuration at the bottom
为了方便说明,For convenience
可以更改表单项,Can change form items
初始化变量,Initialize variables
排序方向,Sort direction
页码全部显示,Show all page numbers
更新变量数据,update variable data
的不处理,not deal with
襄汾县,Xiangfen County
可以指定跳转地址,You can specify the jump address
弹窗的标题,Title of the popup
这是最后一步了,this is the last step
水平或垂直线在鼠标按下去时的通用处理,Generic handling of horizontal or vertical lines when the mouse is pressed
兰屿乡,Lanyu Township
每页之间的间距,space between each page
块级,block level
线的颜色,line color
所以先让用户确认一下,So let the user confirm first
有时候要包裹在外面,sometimes wrapping
把可能会影响视图的白名单弄出来,Get out the whitelist that may affect the view
需要复制,need to copy
垂直对齐方式,vertical alignment
指定为卡片组,designated as a deck
最外层的渲染组件,The outermost rendering component
响应,response
不然就无法覆盖,Otherwise it cannot be covered
纵向步骤条暂时不支持,The vertical step bar is temporarily not supported
目前只支持行,Currently only supports line
发送体格式为,The sending body format is
六甲区,Liujia District
导航项,navigation item
保留历史结构,Preserve the historical structure
用于生成,for generating
星星被选中的颜色,The color the star was chosen for
东势区,Dongshi District
表示当行数据的,Indicates the row data
时间实现更戏剧的初始动画效果,time for a more dramatic initial animation effect
目标组件支持范围,Target component support range
不同尺寸,Different sizes
单选情况下,single choice
公安县,Public Security County
出版时间,Published date
变量里,variable
图标名称或图片链接,Icon name or image link
玉溪市市辖区,District of Yuxi City
下拉,drop down
左一右二布局,left one right two layout
可以设置文本背景色,You can set the text background color
如果无法知道数据总数,If the total number of data cannot be known
如果填写为,If fill in as
